Date,units
2015-11-5,2462
2015-11-6,3765
2015-11-7,162
2015-11-8,98
2015-11-9,4499
2015-11-10,9214
2015-11-11,10015
2015-11-12,4001
2015-11-13,3458
2015-11-14,49
2015-11-15,1166
2015-11-16,2580
2015-11-17,10189
2015-11-18,11455
2015-11-19,898
2015-11-20,6556
2015-11-21,61
2015-11-22,870
2015-11-23,2201
2015-11-24,10155
2015-11-25,12147
2015-11-26,2398
2015-11-27,5625
2015-11-28,94
2015-11-29,128
2015-11-30,1803
2015-12-1,15601
2015-12-2,10670
2015-12-3,942
2015-12-4,5969
2015-12-5,21
2015-12-6,54
2015-12-7,1314
2015-12-8,5694
2015-12-9,5431
2015-12-10,894
2015-12-11,591
2015-12-12,25
2015-12-13,1169
2015-12-14,3406
2015-12-15,103847
2015-12-16,8981
2015-12-17,2964
2015-12-18,2961
2015-12-19,15
2015-12-20,127
2015-12-21,4815
2015-12-22,15963
2015-12-23,1780
2015-12-24,82
2015-12-25,127
2015-12-26,70
2015-12-27,54
2015-12-28,219
2015-12-29,3427
2015-12-30,1946
2015-12-31,148
2016-1-1,10593
2016-1-2,60
2016-1-3,909
2016-1-4,11650
2016-1-5,14944
2016-1-6,8320
2016-1-7,2100
2016-1-8,8076
2016-1-9,114
2016-1-10,137
2016-1-11,2101
2016-1-12,8518
2016-1-13,12230
2016-1-14,1801
2016-1-15,3382
2016-1-16,81
2016-1-17,77
2016-1-18,5074
2016-1-19,10976
2016-1-20,11147
2016-1-21,1623
2016-1-22,4396
2016-1-23,111
2016-1-24,92
2016-1-25,2352
2016-1-26,9752
2016-1-27,8075
2016-1-28,5069
2016-1-29,4420
2016-1-30,53
2016-1-31,1570
2016-2-1,2696
2016-2-2,8682
2016-2-3,8721
2016-2-4,1496
2016-2-5,3290
2016-2-6,68
2016-2-7,1592
2016-2-8,2277
2016-2-9,13477
2016-2-10,5826
2016-2-11,1575
2016-2-12,3506
2016-2-13,75
2016-2-14,137
2016-2-15,2082
2016-2-16,3949
2016-2-17,18549
2016-2-18,1066
2016-2-19,3528
2016-2-20,29
2016-2-21,119
2016-2-22,2700
2016-2-23,12933
2016-2-24,8212
2016-2-25,642
2016-2-26,12061
2016-2-27,71
2016-2-28,66
2016-2-29,2877
2016-3-1,11736
2016-3-2,8592
2016-3-3,1319
2016-3-4,4682
2016-3-5,80
2016-3-6,4086
2016-3-7,2670
2016-3-8,12544
2016-3-9,9343
2016-3-10,2212
2016-3-11,4696
2016-3-12,54
2016-3-13,34
2016-3-14,1795
2016-3-15,12409
2016-3-16,9390
2016-3-17,2349
2016-3-18,4245
2016-3-19,86
2016-3-20,100
2016-3-21,2345
2016-3-22,9985
2016-3-23,6026
2016-3-24,4831
2016-3-25,273
2016-3-26,81
2016-3-27,151
2016-3-28,4004
2016-3-29,12616
2016-3-30,6103
2016-3-31,1900
2016-4-1,7043
2016-4-2,602
2016-4-3,110
2016-4-4,3747
2016-4-5,8608
2016-4-6,7934
2016-4-7,1773
2016-4-8,5158
2016-4-9,391
2016-4-10,429
2016-4-11,2914
2016-4-12,10748
2016-4-13,9001
2016-4-14,2740
2016-4-15,4423
2016-4-16,86
2016-4-17,92
2016-4-18,5878
2016-4-19,7672
2016-4-20,7704
2016-4-21,1359
2016-4-22,4429
2016-4-23,20
2016-4-24,49
2016-4-25,3625
2016-4-26,16153
2016-4-27,11752
2016-4-28,1760
2016-4-29,3447
2016-4-30,0
2016-5-1,182
2016-5-2,3839
2016-5-3,12254
2016-5-4,8357
2016-5-5,845
2016-5-6,4668
2016-5-7,74
2016-5-8,105
2016-5-9,2685
2016-5-10,9937
2016-5-11,7304
2016-5-12,999
2016-5-13,3849
2016-5-14,28
2016-5-15,47
2016-5-16,5052
2016-5-17,13622
2016-5-18,11954
2016-5-19,649
2016-5-20,4091
2016-5-21,66
2016-5-22,176
2016-5-23,2836
2016-5-24,10942
2016-5-25,14641
2016-5-26,1967
2016-5-27,3495
2016-5-28,52
2016-5-29,197
2016-5-30,1635
2016-5-31,15074
2016-6-1,5768
2016-6-2,2196
2016-6-3,5890
2016-6-4,57
2016-6-5,116
2016-6-6,1904
2016-6-7,14520
2016-6-8,8073
2016-6-9,2416
2016-6-10,9205
2016-6-11,35
2016-6-12,16
2016-6-13,1733
2016-6-14,14414
2016-6-15,13722
2016-6-16,7838
2016-6-17,7042
2016-6-18,109
2016-6-19,88
2016-6-20,5775
2016-6-21,34287
2016-6-22,10578
2016-6-23,2656
2016-6-24,1128
2016-6-25,37
2016-6-26,928
2016-6-27,1777
2016-6-28,10407
2016-6-29,1228
2016-6-30,363
2016-7-1,11
2016-7-2,41
2016-7-3,616
